말 잘 들으라는 거 겠지	TRUE	
종교 자유 탄압 할 공산당 무리 무슨 기독교 불교 가시 알 방구 위선 적 것	FALSE	
머 저리 들 뽑은 닭 대가리 대통령 싼 똥 치우느라 문 대통령 엄청 고생 하시는데 뭔 소리	FALSE	
문죄인 구속 하면 국민 통합 저절로 된다 정세균 문죄인 바지 총리 하려고 욕먹어가면서 하는 꼴 우습지 않나	FALSE	
정세균 무승 꿍꿍 이 국무총리 민주당 항상 의심스럽다	FALSE	
정말 싫다 자질 안되면서 나대 기만 소통 뭔 지 모르는듯	FALSE	
좋습니다 정 총리 님 지금 국론 분열 되고 여론 분열 되고 있습니다 초심 잃지 마시고 국가 국민 위해 국론 분열 되지 않고 이나라 평화 길 갈수 있도록 최선 다해 주십시요	TRUE	
아래 수 수	TRUE	
애 수 수	TRUE	
기독교 빼죠 자꾸 권력 맛 돈맛 보 썩잖아요 기독교 그냥 기독교 되게 놔두세요 누가 한숨 더불어 넣으면 터지는 풍선 같아요	FALSE	
기독교 교회 협의 회 제대로 성경 보시 거기 가서 머리 조아리라 했는지 아닌 걸 아니라고 했는지 목사 사명 직업 구분 못 하는 삯군 들	TRUE	
요즘 재인 양산 족 히 수나 족 히 되는 어마어마한 양돈 농장 채렸다메 국민 개돼지 취급 하니 그런 소리 들을 만하	FALSE	
이 자식 웃기 맥 잘 짚어야지 국민 통합 문어벙 문희상 이해찬 문제 너 문제 좌빨 문 빠 들 문제	FALSE	
뒤 개독교 욕 하면서 선거 철 되면 종교 계 기웃기웃 꼴불견	FALSE	
내 동성애 파괴 범죄 저지를 수 순 임 직접 겪어 본 유 경험 자 로서 단언 해드릴께 → http://blog.daum.net/chuanstation/7920 동성애 동성결혼 이슬람 이단 사이비 차별금지법 등 파괴 범죄 저지를 수순 아니 지하철 전동차 출입문 유리창 특히 나 직사각형 벽돌 내려 쳐 와장창 다 깨면서 동성애 인권 왜 외치 결국 동성애 파괴 범죄 저지를 수 순 임 증명 된거 아니냐 동성애 동성결혼 이슬람 이단 사이비 차별금지법 모두 쌍수 들 결사 반대	TRUE	
북한 독재자 우상화 하는데 종교 인정 하면 체재 위협 받기 때문 인정 안 합니다 종교 자유 없는 북한 통일 하려는 문 정부 결국 종교 없앨 것 입니다 김정은 잔혹한 살인자 입니다 그 인류 사탄 같은 존재 입니다 그 사악한 악마 그 자체 란 말 입니다 정신차립시오 그 환란 시작 사실	FALSE	
그러러 면 이 정권 동성애 퀴어 축제 와 동성애 조장 교육 쓰는 삭감 해서 국민 혈세 아껴라	TRUE	
동성애 대한 정세균 씨 입장	TRUE	
한 교총 친북 종북 부역 하시 마시오 세계 기독교 최고 핍박하는 집단 북괴 공산 독재정 권 무슨 그런 놈 들 평화 논의 하냐 진실로 당신 들 하나님 믿는 사람 들이라면 그 곳 고통 받고 핍박 받는 북 주민 들 고통 기 귀 울 그 들 그 고통 해방 될 수 있도록 북괘 백 두 돼지 김정은 독재정 권 하늘 벼락 떨어져서 백 두 돼지 일당 제거 되도록 힘 다해 합심 하여 기도 하는 것 그 첫 번째 책무 일 것 입니다 대한민국 종교인 중 캐톨릭 무론 개신교 좌편향 되고 친북 종북 결탁 신사참배 동조 같다	FALSE	
목사 님 들은 주사파 앞잡이 노릇 하지마라 하면 하나님 엄벌 있을것이다	FALSE	
