나이 들어서 걸리면 치사 율도 높을껀데 전부 자기 들 자초 일이 의료 진 죽어나는거지	0
축하 합니다	1
저 것 들 한 곳 몰아 넣고 지 들 끼리 감염 되서 물 뜯 고함 다 디지길	0
몇 일 전 부터 우한 중국 입국 시키더니 우한 폐렴 확 진자 급증 이 거 아무래도 연관 성 의심 안 할수가 없다	0
왜 또 교회 몰려서 이런 난리 피우는 건지 집단 장소 가지말라고 그렇게 당부 메세지 받았을텐데 정말 이번 말 되면 참 많은 사망자 발생 할것 같다 ㅠㅠ	0
주님 만나러 일찍 가니 좋겠네요	1
뎨러 리스트 들	0
저승 길 친구 들 많이 있어 좋겠다 적당히 좀해	0
미친 개 제 일 교회 확 진자 다 가라 하늘나라	0
빨리 죽 병상 확보 하자	0
이만 희가 기뻐 합니다	1
기독교 탈 쓴 테러 단체	0
너무한다 진짜 너무해 코로나 국민 들 힘들어하는데 신 모시던 그 분 코로나 걸리면 천국 보내준다고 하든 그럼 국민 세금 검사 받지말고 아베 피토 천국 가던지	0
이쯤 되면 미 통닭 지지자 들 트 ㄹ 따 기 들 거 증명 된거 쥬	0
어쩌 미 통닭 니 당원 들 좀 줄어들게 생겼네	0
인구 너무 많다	1
치료 비 청구 해라	0
사랑 최악 교회 확 진자 들 전원 치료 비 부담 시켜야 한다	0
이제 전광훈 빌면 되겠네 가슴 너무 아픈데 고쳐 달라 고해	0
교인 들 하나님 알아서 치료 해주실텐데 굳이 치료 할 이유 있나 전파 안 시키게 격리 제대로 시키면 될듯	0
주님 몇 놈 갑니다	0
문 통 이맘 안 들어도 이 건아 니지 선거 해야지	0
헐 예수 배신 때린 겨 지켜주는거 아니었어 아님 광훈이 거짓말 한 겨	0
신천지 똑같이 처벌 해야 함 목사 및 교인 모든 치료 비 방역 비등 정구 해야 함	0
아 진짜 너무하네	0
바이러스 전파 감염 숙주 제거 하면 됩니다	0
그런 사람 들 살려줄 필요 없다고 생각 합니다	0
그냥 빨리 해 왜 주저 하는지 이해 안 간다	0
신천지 때 보다 더 큰 위기 라며 소 잃고 외양간 고칠래	0
단계 돌입 해서 우리나라 경제 폭삭 하 정부 탓 할거잖아 정부 판단 해서 단계 내리겠지	0
빨리 하자 소 잃고 외양간 잃을셈	0
하 진짜 경제 안좋아지면 경제 망친 정부 발악 할거면서	0
이미 망 한경제 니 재앙 걱정 왜 하는거지	0
수도권 종교 전라도 유흥업소 경상도 러시아 선원 ㅋㅋㅋ 헬 파티 시작 요	0
지금 방역 실패하면 경제 더 망할게 뻔하잖아요 남은 거 꽉 붙들어 매야죠	0
맨날 뒷북 치면 문재인 하는 소리 과 할 정도 선제 대처 해	0
이미 망한 경제 개뿔 맨날 헛소문 듣고와 서 망했다 하지말고 제발 이 민가 살으렴 ㅠㅠ	0
더 확산 되 기전 단계 진행 해야 합니다	0
그 분 살아계셨더라면 이번 서울 퍼진 코로나 서 울 코로나 했을까 성추행 범 원 숭 씨 지옥 고통 받고 있겠지	0
코로나 걸린 사랑 교인 전광훈 그냥 두어라 하나님 죽인다는 인간 세금 쓰지 말아라	0
코로나 걸린 사랑 교인 전광훈 그냥 두어라 하나님 죽인다는 인간 세금 쓰지 말아라 지가 신 부부 나란히 손 잡고 지옥 여행 가라	0
말로 단계 격상 한다 하지 마시고 바로 격상 하세요 현 상황 이 단계 별 차례 지킬 필요성 있나요 국민 체감 앞 국민 잘해야 단계 갈 일이 생기지 않을테니 똑바로 해라 이 어조 느껴집니다 그렇다면 교회 종교 단체 들 수시로 주말 대 거인 원 한 공간 몰리는데 동 시 다발 적 감염 사태 선제 방어 못 정부 그간 무얼 했습니까 생각 했어도 안 움직인거죠 괜 전국 초 중고 아이 들 혼란 속 일주일 번 번 찔끔 안 하니만 못 하게 등교 하게 하고요	0
전국 재학 중 학생 수 몇 배 많은 인원 종교 교 아닐까 요	1
감기 걸린다고 뒤지나 ㅋㅋㅋㅋㅋ	0
정부 의료 계 전문가 들 말좀 듣고 한발 빠르게 선제 방역 해주기 바랍니다 경제 적 측면 고려 해서 신중하게 결정 하려는거 이해 못 하 는바 아니나 시기 놓치면 소 탐대 실할 수 있습니다 정치 적 경제 적 고려 앞서 국민 건강 방역 최 우선 고려 해주세요	0
그게 쉽나	0
어려워도 해야죠	1
